"Aggregate","Year","TotalCt","RawSpn","TotalRunMainAges","Total.Run","EnhSurplus","EffSpn","AgeComp","RunAge3","RunAge4","RunAge5","RunAge6","RunAge7","TotalSpnExp","ExpFactorLabel","SpnBaseCV","SpnAddCV","CtCV","SpnCVTotal","EffSpnSE","CtSE","RunSE","EffSpn_Lower","EffSpn_Upper","CT_Lower","CT_Upper","Run_Lower","Run_Upper","RecAge3","RecAge4","RecAge5","RecAge6","RecAge7","RecTotalNA","RecAgesUse","RecTotal","RpS","LogRpS","Spn","Rec","SpnExp","PercRecAge3","PercRecAge4","PercRecAge5","PercRecAge6","PercRecAge7","OddSpnVal","OddSpnFlag","OddRecVal","OddRecFlag","OddProdVal","OddProdFlag","OddExpVal","OddExpFlag","NumFlagsMain","NumFlagsAll"
"Nass",2002,998502,405498,NA,1404000,0,405498,"NassAgg",0.015,0.479406359,0.46750104,0.038336428,0,1,"None",0.03,0.2,0.1,0.23,93264.54,99850.2,136632.122363124,218968.92,592027.08,798801.6,1198202.4,1130735.75527375,1677264.24472625,5657.98252404,199293.466252772,369757.794132628,42452.860234707,0,617162.103144147,617162.103144147,617162.103144147,1.52198556625223,0.420015775986005,405498,617162.103144147,1,0.0092,0.3229,0.5991,0.0688,0,1.78,FALSE,1.01,FALSE,1.52,FALSE,1,FALSE,0,0
"Nass",2003,912573,263688,NA,1176261,0,263688,"NassAgg",0.004428574,0.162221697,0.706094598,0.127255131,0,1,"None",0.03,0.2,0.1,0.23,60648.24,91257.3,109572.367950992,142391.52,384984.48,730058.4,1095087.6,957116.264098016,1395405.73590198,5874.852623956,47981.599539291,205565.816504412,73521.73915905,0,332944.007826709,332944.007826709,332944.007826709,1.26264376015105,0.233207745111318,263688,332944.007826709,1,0.0176,0.1441,0.6174,0.2208,0,1.16,FALSE,0.54,FALSE,1.26,FALSE,1,FALSE,0,0
"Nass",2004,769373,215857,NA,985230,0,215857,"NassAgg",0.007478168,0.268534833,0.66356018,0.060426819,0,1,"None",0.03,0.2,0.1,0.23,49647.11,76937.3,91565.1880500559,116562.78,315151.22,615498.4,923247.6,802099.623899888,1168360.37610011,5508.15842203,123792.988705272,382994.886760317,34708.404376301,0,547004.43826392,547004.43826392,547004.43826392,2.5341056267062,0.929840764813233,215857,547004.43826392,1,0.0101,0.2263,0.7002,0.0635,0,0.95,FALSE,0.89,FALSE,2.53,FALSE,1,FALSE,0,0
"Nass",2005,441701,224559,NA,666260,0,224559,"NassAgg",0.008492154,0.212844151,0.624746694,0.153917001,0,1,"None",0.03,0.2,0.1,0.23,51648.57,44170.1,67960.0803196619,121261.86,327856.14,353360.8,530041.2,530339.839360676,802180.160639324,8485.906058763,109599.986746809,322634.622840395,71306.535170304,0,512027.050816271,512027.050816271,512027.050816271,2.28014486534172,0.824238978378511,224559,512027.050816271,1,0.0166,0.2141,0.6301,0.1393,0,0.99,FALSE,0.83,FALSE,2.28,FALSE,1,FALSE,0,0
"Nass",2006,524530,250642,NA,775172,0,250642,"NassAgg",0.007578773,0.257095801,0.516366329,0.218955723,0,1,"None",0.03,0.2,0.1,0.23,57647.66,52453,77939.5272790104,135346.68,365937.32,419624,629436,619292.945441979,931051.054558021,9536.387333824,77857.418699735,390897.270597456,115787.956280031,0,594079.032911046,594079.032911046,594079.032911046,2.37022938258969,0.862986736366411,250642,594079.032911046,1,0.0161,0.1311,0.658,0.1949,0,1.1,FALSE,0.97,FALSE,2.37,FALSE,1,FALSE,0,0
"Nass",2007,437909,164747,NA,602657,0,164747,"NassAgg",0.00913979,0.079616763,0.613546004,0.297219101,0,1,"None",0.03,0.2,0.1,0.23,37891.81,43790.9,57908.8265110432,88963.38,240530.62,350327.2,525490.8,486839.346977914,718474.653022086,3898.554522668,86770.6031124,312168.410324443,102798.557511918,0,505636.125471429,505636.125471429,505636.125471429,3.0691674232091,1.12140632716661,164747,505636.125471429,1,0.0077,0.1716,0.6174,0.2033,0,0.72,FALSE,0.82,FALSE,3.07,FALSE,1,FALSE,0,0
"Nass",2008,162382,218105,NA,380487,0,218105,"NassAgg",0.022302749,0.325354056,0.540270276,0.111575061,0,1,"None",0.03,0.2,0.1,0.23,50164.15,16238.2,52726.8535422179,117776.7,318433.3,129905.6,194858.4,275033.292915564,485940.707084436,8161.59111984,42846.644423345,296518.548871674,92624.93068317,0,440151.715098029,440151.715098029,440151.715098029,2.0180725572455,0.702142876312551,218105,440151.715098029,1,0.0185,0.0973,0.6737,0.2104,0,0.96,FALSE,0.72,FALSE,2.02,FALSE,1,FALSE,0,0
"Nass",2009,330753,244900,NA,575653,0,244900,"NassAgg",0.016566208,0.190392453,0.665322489,0.12771885,0,1,"None",0.03,0.2,0.1,0.23,56327,33075.3,65320.0306115207,132246,357554,264602.4,396903.6,445012.938776959,706293.061223041,6375.988972181,101979.44581347,358086.07247911,131887.169322272,0,598328.676587033,598328.676587033,598328.676587033,2.44315506977147,0.893290265402963,244900,598328.676587033,1,0.0107,0.1704,0.5985,0.2204,0,1.07,FALSE,0.97,FALSE,2.44,FALSE,1,FALSE,0,0
"Nass",2010,210089,229010,NA,439099,0,229010,"NassAgg",0.008878532,0.177311765,0.734765105,0.079044599,0,1,"None",0.03,0.2,0.1,0.23,52672.3,21008.9,56707.5397676535,123665.4,334354.6,168071.2,252106.8,325683.920464693,552514.079535307,3276.447802938,69707.42222554,354496.723855456,53279.624233128,0,480760.218117062,480760.218117062,480760.218117062,2.09929792636593,0.741602968053599,229010,480760.218117062,1,0.0068,0.145,0.7374,0.1108,0,1,FALSE,0.78,FALSE,2.1,FALSE,1,FALSE,0,0
"Nass",2011,280436,276700,NA,557136,0,276700,"NassAgg",0.01464919,0.155744025,0.701619121,0.127987664,0,1,"None",0.03,0.2,0.1,0.23,63641,28043.6,69545.8149852311,149418,403982,224348.8,336523.2,418044.370029538,696227.629970462,31511.57461218,368484.75709716,281316.4160571,104380.665015282,0,785693.412781722,785693.412781722,785693.412781722,2.83951359877746,1.04363276946896,276700,785693.412781722,1,0.0401,0.469,0.358,0.1329,0,1.21,FALSE,1.28,FALSE,2.84,FALSE,1,FALSE,0,0
