"Stock","Year","T_Idx_E","TE","CDN.Harvest","TRTC","Total.Harvest","Total.Run","TotalSpnExp","EffSpn","Expl_R","Expl_S","AgeComp","RunAge3","RunAge4","RunAge5","RunAge6","RunAge7","Total","ExpFactorLabel","SpnBaseCV","SpnAddCV","CtCV","SpnCVTotal","SpnSE","EffSpnSE","CtSE","RunSE","TE_Lower","TE_Upper","EffSpn_Lower","EffSpn_Upper","CT_Lower","CT_Upper","Run_Lower","Run_Upper","RecAge3","RecAge4","RecAge5","RecAge6","RecAge7","RecTotalNA","RecAgesUse","RecTotal","RpS","LogRpS","PercCdnCt","TotalER","Spn","Rec","SpnExp","PercRecAge3","PercRecAge4","PercRecAge5","PercRecAge6","PercRecAge7","OddSpnVal","OddSpnFlag","OddRecVal","OddRecFlag","OddProdVal","OddProdFlag","OddExpVal","OddExpFlag","NumFlagsMain","NumFlagsAll"
"Alastair",1974,1750,3877.449031,2521.612289,6399.06132,2683.154471,6560.603502,2.22,3877.449031,36483,3925,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,775.4898062,775.4898062,804.9463413,1117.7312073537,2326.4694186,5428.4286434,2326.4694186,5428.4286434,1073.2617884,4293.0471536,4325.14108729259,8796.06591670741,0,1037.81292611016,16664.4274687544,21448.2390101492,0,39150.4794050137,39150.4794050137,39150.4794050137,10.0969681592221,2.31223519652827,94,41,3877.449031,39150.4794050137,2.22,0,0.0265,0.4257,0.5478,0,0.25,FALSE,1.54,FALSE,10.1,FALSE,1,FALSE,0,0
"Alastair",1975,600,1329.411097,436.7388109,1766.149907,453.9350274,1783.346124,2.22,1329.411097,31189,1346,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,265.8822194,265.8822194,136.18050822,298.728112858712,797.6466582,1861.1755358,797.6466582,1861.1755358,181.57401096,726.29604384,1185.88989828258,2380.80234971742,0,999.865639679734,28597.6520135322,1263.9716477296,0,30861.4893009415,30861.4893009415,30861.4893009415,23.2144062664926,3.14477304571914,96,25,1329.411097,30861.4893009415,2.22,0,0.0324,0.9266,0.041,0,0.08,TRUE,1.21,FALSE,23.21,TRUE,1,FALSE,2,2
"Alastair",1976,3000,6647.055483,3211.332461,9858.387944,3506.23981,10153.29529,2.22,6647.055483,9233,6729,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,1329.4110966,1329.4110966,1051.871943,1695.21929207811,3988.2332898,9305.8776762,3988.2332898,9305.8776762,1402.495924,5609.983696,6762.85670584378,13543.7338741562,0,1715.85910631864,1685.29553030614,7615.50288611024,0,11016.657522735,11016.657522735,11016.657522735,1.65737408855852,0.505234475521841,92,35,6647.055483,11016.657522735,2.22,0,0.1558,0.153,0.6913,0,0.42,FALSE,0.43,FALSE,1.66,FALSE,1,FALSE,0,0
"Alastair",1977,7000,15509.79613,7378.858621,22888.65475,8316.61163,23826.40776,2.22,15509.79613,17159,15701,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,3101.959226,3101.959226,2494.983489,3980.84082200597,9305.877678,21713.714582,9305.877678,21713.714582,3326.644652,13306.578608,15864.7261159881,31788.0894040119,0,101.11773096426,10154.003848147,8148.87747327616,0,18403.9990523874,18403.9990523874,18403.9990523874,1.18660483336652,0.171096148124624,89,35,15509.79613,18403.9990523874,2.22,0,0.0055,0.5517,0.4428,0,0.99,FALSE,0.72,FALSE,1.19,FALSE,1,FALSE,0,0
"Alastair",1978,9000,19941.16645,9808.180752,29749.3472,11366.19041,31307.35686,2.22,19941.16645,15696,20187,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,3988.23329,3988.23329,3409.857123,5247.20214731032,11964.69987,27917.63303,11964.69987,27917.63303,4546.476164,18185.904656,20812.9525653794,41801.7611546206,0,609.24022574277,10865.1699643682,5420.83543245706,0,16895.245622568,16895.245622568,16895.245622568,0.847254631013225,-0.165754002575156,86,36,19941.16645,16895.245622568,2.22,0,0.0361,0.6431,0.3208,0,1.27,FALSE,0.66,FALSE,0.85,FALSE,1,FALSE,0,0
"Alastair",1979,9000,19941.16645,9163.630281,29104.79673,10221.44726,30162.61371,2.22,19941.16645,12733,20187,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,3988.23329,3988.23329,3066.434178,5030.80742460599,11964.69987,27917.63303,11964.69987,27917.63303,4088.578904,16354.315616,20100.998860788,40224.228559212,0,651.910192355625,7227.78057660941,5374.82122111821,0,13254.5119900832,13254.5119900832,13254.5119900832,0.664680876282603,-0.408448238797398,90,34,19941.16645,13254.5119900832,2.22,0,0.0492,0.5453,0.4055,0,1.27,FALSE,0.52,FALSE,0.66,FALSE,1,FALSE,0,0
"Alastair",1980,15000,33235.27741,13268.85676,46504.13418,18526.47272,51761.75013,2.22,33235.27741,20469,33645,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,6647.055482,6647.055482,5557.941816,8664.52905880219,19941.166446,46529.388374,19941.166446,46529.388374,7410.589088,29642.356352,34432.6920123956,69090.8082476044,0,433.666830933526,7166.42829482428,14592.1565344725,0,22192.2516602304,22192.2516602304,22192.2516602304,0.667731801557132,-0.40386868074101,72,36,33235.27741,22192.2516602304,2.22,0,0.0195,0.3229,0.6575,0,2.11,FALSE,0.87,FALSE,0.67,FALSE,1,FALSE,0,0
"Alastair",1981,900,1994.116645,957.5184112,2951.635056,1056.268264,3050.384909,2.22,1994.116645,24885,2019,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,398.823329,398.823329,316.8804792,509.385203802254,1196.469987,2791.763303,1196.469987,2791.763303,422.5073056,1690.0292224,2031.61450139549,4069.15531660451,0,429.985694057511,19456.2087126301,5793.889083114,0,25680.0834898016,25680.0834898016,25680.0834898016,12.8779244454888,2.55551456215429,91,35,1994.116645,25680.0834898016,2.22,0,0.0167,0.7576,0.2256,0,0.13,FALSE,1.01,FALSE,12.88,FALSE,1,FALSE,0,0
"Alastair",1982,4750,10524.50451,6915.088474,17439.59299,7854.242444,18378.74696,2.22,10524.50451,18205,10654,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,2104.900902,2104.900902,2356.2727332,3159.52987016458,6314.702706,14734.306314,6314.702706,14734.306314,3141.6969776,12566.7879104,12059.6872196708,24697.8067003292,0,1167.3725128974,7725.185444152,10153.5322694176,0,19046.090226467,19046.090226467,19046.090226467,1.80968996767212,0.593155542027231,88,43,10524.50451,19046.090226467,2.22,0,0.0613,0.4056,0.5331,0,0.67,FALSE,0.75,FALSE,1.81,FALSE,1,FALSE,0,0
"Alastair",1983,6500,14401.95355,3250.210019,17652.16356,5264.00408,19665.95763,2.22,14401.95355,24329,14580,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,2880.39071,2880.39071,1579.201224,3284.89378034319,8641.17213,20162.73497,8641.17213,20162.73497,2105.601632,8422.406528,13096.1700693136,26235.7451906864,0,463.511122733996,13538.0430258901,9805.47644197205,0,23807.0305905961,23807.0305905961,23807.0305905961,1.65304175631063,0.502617079445808,62,27,14401.95355,23807.0305905961,2.22,0,0.0195,0.5687,0.4119,0,0.92,FALSE,0.93,FALSE,1.65,FALSE,1,FALSE,0,0
