#Data 
CU[]	Spawn[]	lnRSobs[]	year[]
8	1500	2.646635598	9
8	800	2.51350424	10
8	7000	-0.519074727	11
8	10000	-0.268327174	12
8	15000	-0.819124466	13
8	6000	-0.760168919	14
8	1007	0.553787391	23
8	8185	0.354771551	38
9	860	1.580173116	1
9	2294	0.670897679	2
9	2294	0.993944409	3
9	2073	1.068601877	4
9	1554	1.077242143	5
9	3059	0.239644753	6
9	1625	0.931301526	7
9	2964	1.113206716	8
9	1816	2.045700328	9
9	2294	1.977478484	10
9	1816	1.877282996	11
9	2294	0.926852304	12
9	6501	0.334402196	13
9	6501	0.275279949	14
9	6501	-0.57810667	15
9	3633	-0.60575172	16
9	1816	-0.078919646	17
9	6501	-1.133514307	18
9	1816	0.125309275	19
9	803	0.85825418	20
9	860	1.334475384	21
9	669	1.860497775	22
9	1052	1.685680858	23
9	841	2.039436272	24
9	1089	1.861235896	25
9	2178	1.619939279	26
9	2178	1.94031325	27
9	4356	1.959651626	28
9	2614	2.692007738	29
9	3921	2.432476697	30
9	6535	2.098938685	31
9	6535	1.806292071	32
9	17426	0.743008917	33
9	15247	0.849478885	34
9	15901	1.012690806	38
9	16990	1.253875859	39
9	24814	0.242923393	41
9	20085	0.266928618	42
9	27445	0.102398415	43
9	49811	-0.381323799	44
9	24912	0.284907418	45
9	16487	1.073129291	46
9	19196	1.063981152	47
9	17290	1.15018753	48
9	34272	-0.070137056	52
9	41965	-0.277304718	53
10	800	0.153894951	1
10	400	1.283279539	2
10	231	2.136604749	41
10	221	2.231977085	42
10	978	2.126835962	43
10	3377	-1.671665932	44
10	1317	0.550370041	45
10	937	1.827756894	46
10	5139	1.516128439	47
10	245	2.8082391	48
10	1200	1.786301799	49
10	3047	-0.051765029	50
10	20804	-0.094626033	51
10	2366	0.731920761	52
10	5476	-1.399925104	53
10	828	-0.517047377	54
10	13699	-2.256583799	55
11	11341	2.078015898	1
11	14870	1.498785712	2
11	17322	0.879576495	3
11	19910	0.512570292	4
11	52389	-0.896030228	5
11	87710	-1.788939817	6
11	39849	-1.409314891	7
11	29423	-1.384561996	8
11	24918	-1.490692091	9
11	14207	-0.833065413	10
11	11366	-0.538323855	11
11	6557	0.147986915	12
11	5792	0.163889376	13
11	3934	1.120205328	14
11	5246	1.055624576	15
11	5683	1.659167593	16
11	6557	1.333418852	17
11	5082	1.85052992	18
11	11803	0.808417528	19
11	12459	0.137804312	20
11	29420	0.160636172	21
11	15956	0.308941944	22
11	30091	-1.39404452	23
11	19235	-0.4825993	24
11	9508	0.149608718	25
11	36284	-1.927134568	26
11	8962	0.366215402	27
11	5300	1.132867348	28
11	10437	0.561800966	29
11	7672	0.14203469	30
11	2688	2.337171976	31
11	13442	0.967454499	32
11	10382	0.36065217	33
11	13661	-0.723775418	34
11	3115	1.269614421	35
11	9925	-0.658204903	40
11	10953	-0.790396419	42
11	2781	1.038887888	44
11	5164	0.68830674	45
11	8275	0.84023951	46
11	2529	2.320264315	47
11	6121	1.582962834	48
11	7408	1.368800935	49
11	10299	0.847367267	50
11	20737	0.289511096	51
11	23796	0.316588315	52
11	27578	-0.359613281	53
11	26446	-0.807101403	54
11	20496	-0.269024832	55
12	1500	1.088643644	1
12	1500	1.794060535	2
12	1000	1.763426552	3
12	1600	1.030891869	4
12	1000	1.477819635	5
12	6000	-0.528367504	6
12	8000	-0.790418635	7
12	400	1.878706878	8
12	5000	-0.290334038	9
12	1944	0.984948289	10
12	3000	-0.051501211	11
12	3600	0.591673918	15
12	200	2.435757818	16
12	1200	0.976556349	18
12	8000	-0.119904128	19
12	2200	0.973839735	20
12	280	2.077638421	21
12	3000	0.489166586	22
12	2000	1.272225209	23
12	10000	-0.365207106	24
12	6000	0.490350078	28
12	4000	1.648555566	29
12	7072	-0.154871196	43
12	9106	-1.193287892	44
12	6000	-0.881159442	45
12	5887	-0.41028718	46
12	5479	-0.24689451	47
12	3901	0.122483247	48
12	327	2.512834959	49
12	3736	0.109866278	50
12	3836	0.949702785	51
12	3719	1.192350705	52
12	3940	0.845030328	53
12	3320	0.530471596	54
12	4220	0.017772899	55
13	4055	1.692190369	1
13	5793	1.263675105	2
13	3476	1.453206704	3
13	1159	2.179929339	4
13	5793	0.774562071	5
13	11586	0.631857019	6
13	6951	0.907697508	7
13	3939	0.973000519	8
13	3476	0.878256164	9
13	3823	0.731099531	10
13	10891	-1.955785935	11
13	7647	-1.671172425	12
13	4171	-0.192055387	13
13	2317	0.439706017	14
13	2781	0.292710897	15
13	521	1.940888735	16
13	232	3.714096896	17
13	1390	2.654679714	18
13	1159	2.914612674	19
13	1622	2.374767781	20
13	927	2.648091782	21
13	2317	1.982886081	22
13	6951	0.751641543	23
13	9269	0.308285955	24
13	6951	1.154112412	25
13	4634	2.202546299	26
13	6951	2.647922369	27
13	9269	2.222448239	28
13	46343	0.931418298	32
13	31281	0.970513322	33
13	25489	-0.082768834	34
13	40550	-1.522181162	36
13	47501	-1.719713957	37
13	27806	-0.571167058	38
13	6951	1.33045804	39
13	17379	0.137195608	40
13	3476	1.650344505	41
13	4634	2.062479648	42
13	6482	2.087992827	43
13	21769	0.376564789	44
13	15616	0.695782925	45
13	11063	0.440028749	46
13	18314	-0.571987103	47
13	45452	-1.515662784	48
13	17410	-0.173068534	49
13	30460	-0.123574217	50
13	14360	0.988691874	51
13	7441	1.522820615	52
13	6908	0.948790182	53
13	9425	1.006738206	54
14	1500	-0.371231768	28
14	100	2.429327053	29
14	400	0.684613842	34
14	100	2.602935413	37
14	220	1.188694001	38
14	500	1.271532431	39
14	666	1.001412376	40
14	726	0.042440271	41
14	457	-0.24849253	42
14	171	0.872104166	43
14	2059	-1.867743534	44
14	498	-0.663634097	45
14	269	0.633295427	46
14	143	1.978268554	47
14	911	-0.24825526	52
14	609	0.489594857	55
15	33541	1.112907806	1
15	58588	0.11285575	2
15	37326	0.677212263	3
15	63955	0.457917968	4
15	119866	-1.128657388	5
15	31037	0.703511807	6
15	21463	1.168883757	7
15	31742	1.535362992	8
15	22284	1.963173528	9
15	43526	2.059314024	10
15	28978	1.749875519	11
15	30443	2.075140016	12
15	73911	0.863108723	13
15	100183	0.648311906	14
15	96197	-0.358978844	15
15	97499	1.612491424	16
15	50192	1.152115379	17
15	89757	2.777563165	18
15	27964	2.500210675	19
15	135745	0.950409469	20
15	57655	3.125812907	21
15	256141	1.072423332	22
15	122052	1.644318678	23
15	112845	1.761459435	24
15	219484	1.698830772	25
15	216568	0.753617038	26
15	132930	1.850497743	27
15	302166	0.530455536	28
15	173803	1.87721045	29
15	106908	1.972923108	30
15	127100	1.889058066	31
15	224976	2.030165176	32
15	198087	2.348315003	33
15	251783	0.446014203	34
15	136482	-1.563950611	35
15	243069	-0.086128693	36
15	210609	1.573352135	37
15	120916	0.051142117	38
15	62357	1.744086272	39
15	128989	-0.091222566	40
15	130236	0.508907549	41
15	99116	0.914920178	42
15	95249	2.14650487	43
15	147068	-0.14055786	44
15	102160	1.616581411	45
15	128931	-0.107671976	46
15	174654	0.352710015	47
15	170675	1.289218396	48
15	139316	-0.328623626	49
15	130986	-0.725339447	50
15	119148	1.175983694	51
15	151768	0.247394368	52
15	110012	0.423311845	53
15	30151	-0.446619661	54
15	78550	1.468535684	55
16	949	-0.770477755	41
16	855	-0.870440867	42
16	398	0.373362929	43
16	430	0.383424528	44
16	293	-0.140397634	45
16	216	0.508974601	46
16	331	1.1084293	47
16	366	1.138064949	48
16	150	2.019733206	49
16	161	0.262729271	50
16	740	0.118114693	51
16	687	0.817160622	52
16	940	-0.693274558	53
16	93	1.607943144	54
17	100	3.283367065	1
17	500	0.493470484	2
17	500	-0.060138937	3
17	500	1.45140673	4
17	400	2.108372044	5
17	2100	0.644885824	6
17	50	3.623840915	7
17	100	3.303214543	8
17	1100	1.677093057	9
17	1800	-0.078374738	10
17	3300	-3.963562104	14
17	75	1.732349025	15
17	550	2.76065614	29
17	1257	0.930996171	42
17	988	1.344900011	43
17	4992	-1.050392561	44
17	1604	-0.043971678	45
17	1175	0.367533769	46
17	808	1.316929356	47
17	2469	0.099073502	48
17	212	2.409754639	49
17	540	1.26077951	50
17	426	1.7293057	51
17	1884	0.405820962	52
17	1309	0.981147925	53
17	1366	0.846564457	54
18	15021	0.174783208	1
18	1671	3.106154926	2
18	10320	0.588152381	4
18	22243	0.544768523	5
18	11121	0.665541917	6
18	22243	0.608648541	7
18	35957	0.193154015	8
18	7800	1.40217736	9
18	26700	0.19485005	10
18	12840	0.668021256	11
18	26700	-1.892157403	12
18	26700	-0.305786267	13
18	17250	-1.875560062	14
18	17250	0.835852297	15
18	17250	0.515753449	16
18	1206	3.736602248	17
18	12840	1.618234096	18
18	16135	1.45791712	21
18	31885	0.700685059	22
18	36342	0.913720616	23
18	39300	0.503117163	25
18	39977	0.458429829	26
18	39300	0.816583762	27
18	71914	0.686287335	28
18	82285	0.43595191	29
18	33000	-0.271870553	30
18	39300	0.335863464	31
18	53014	0.235054811	32
18	76371	-1.753783013	33
18	2674	2.007974414	38
18	27871	-0.059562503	40
18	25825	0.437808931	42
18	10828	0.34928493	43
18	20242	0.087692031	44
18	19597	0.204979817	45
18	10821	-0.382806642	46
18	25972	-0.838101775	47
18	9665	0.496283762	48
18	19059	-1.258690724	49
18	21436	-1.299528055	50
18	4825	1.739297996	51
18	9317	0.810847096	52
18	12857	-0.318157903	53
18	3788	0.321248565	54
18	4922	0.988831326	55
END
