#Data 
CU[]	Spawn[]	lnRSobs[]
6	2000	1.967864278
6	11186	0.244642763
6	6956	0.633991774
6	4837	1.129261869
6	5319	0.541618698
6	10548	-0.094728054
6	6411	0.93346006
6	3632	0.600412164
6	3727	1.728308468
6	9389	0.582038262
6	3595	0.641704615
6	10472	-1.02280223
6	316	1.758174091
6	19510	-0.860085896
6	8047	0.264919655
6	1198	2.02488393
6	2166	2.048796922
6	548	3.293353822
6	6625	0.527532233
6	8721	0.841906905
6	6046	1.025628762
6	13478	0.542737769
6	8600	0.755237229
6	7735	0.943462628
6	17574	-0.295157968
7	44721	1.834406374
7	218146	0.342440657
7	99536	1.301975413
7	177106	1.2337465
7	186458	-0.285910918
7	176199	0.39843477
7	58581	2.255972226
7	135976	1.768964455
7	125287	1.370813478
7	105359	2.046535827
7	195558	0.826608545
7	282801	1.37160091
7	209478	1.681975383
7	237309	1.658092571
7	139211	0.804188778
7	368434	1.518371044
7	288071	0.223470311
7	502031	1.950263353
7	143303	1.983934489
7	416887	0.565025678
7	121208	2.854671414
7	441066	0.944553072
7	319421	0.480382811
7	314944	0.942722901
7	266911	2.252214059
7	301691	1.612920588
7	165482	1.750005995
7	150463	1.554629563
7	322950	1.433785019
7	328463	1.611373074
7	331533	1.676688044
7	104023	3.523096794
7	318210	2.621792369
7	260339	1.269969519
7	428141	-1.998065427
7	393980	0.428373557
7	372337	2.653003154
7	320216	0.465140954
7	157127	2.003153221
7	203004	0.759622087
7	586508	0.367870486
7	400411	0.616929458
7	290370	2.21481651
7	460680	-0.190461976
7	445304	1.164033795
7	327460	-0.062650441
7	461925	0.630389432
7	458006	1.200636685
7	357801	-0.287703257
7	317178	0.382715238
7	321952	2.272339302
7	347869	1.576302243
7	337324	0.818844828
7	220714	-0.983883652
7	425300	1.197296038
8	1500	2.777433486
8	1500	2.646635598
8	800	2.51350424
8	7000	-0.519074727
8	10000	-0.268327174
8	15000	-0.819124466
8	6000	-0.760168919
8	1007	0.553787391
8	8185	0.354771551
9	860	1.580173116
9	2294	0.670897679
9	2294	0.993944409
9	2073	1.068601877
9	1554	1.077242143
9	3059	0.239644753
9	1625	0.931301526
9	2964	1.113206716
9	1816	2.045700328
9	2294	1.977478484
9	1816	1.877282996
9	2294	0.926852304
9	6501	0.334402196
9	6501	0.275279949
9	6501	-0.57810667
9	3633	-0.60575172
9	1816	-0.078919646
9	6501	-1.133514307
9	1816	0.125309275
9	803	0.85825418
9	860	1.334475384
9	669	1.860497775
9	1052	1.685680858
9	841	2.039436272
9	1089	1.861235896
9	2178	1.619939279
9	2178	1.94031325
9	4356	1.959651626
9	2614	2.692007738
9	3921	2.432476697
9	6535	2.098938685
9	6535	1.806292071
9	17426	0.743008917
9	15247	0.849478885
9	15901	1.012690806
9	16990	1.253875859
9	24814	0.242923393
9	20085	0.266928618
9	27445	0.102398415
9	49811	-0.381323799
9	24912	0.284907418
9	16487	1.073129291
9	19196	1.063981152
9	17290	1.15018753
9	34272	-0.070137056
9	41965	-0.277304718
10	800	0.153894951
10	400	1.283279539
10	231	2.136604749
10	221	2.231977085
10	978	2.126835962
10	3377	-1.671665932
10	1317	0.550370041
10	937	1.827756894
10	5139	1.516128439
10	245	2.8082391
10	1200	1.786301799
10	3047	-0.051765029
10	20804	-0.094626033
10	2366	0.731920761
10	5476	-1.399925104
10	828	-0.517047377
10	13699	-2.256583799
11	11341	2.078015898
11	14870	1.498785712
11	17322	0.879576495
11	19910	0.512570292
11	52389	-0.896030228
11	87710	-1.788939817
11	39849	-1.409314891
11	29423	-1.384561996
11	24918	-1.490692091
11	14207	-0.833065413
11	11366	-0.538323855
11	6557	0.147986915
11	5792	0.163889376
11	3934	1.120205328
11	5246	1.055624576
11	5683	1.659167593
11	6557	1.333418852
11	5082	1.85052992
11	11803	0.808417528
11	12459	0.137804312
11	29420	0.160636172
11	15956	0.308941944
11	30091	-1.39404452
11	19235	-0.4825993
11	9508	0.149608718
11	36284	-1.927134568
11	8962	0.366215402
11	5300	1.132867348
11	10437	0.561800966
11	7672	0.14203469
11	2688	2.337171976
11	13442	0.967454499
11	10382	0.36065217
11	13661	-0.723775418
11	3115	1.269614421
11	9925	-0.658204903
11	10953	-0.790396419
11	2781	1.038887888
11	5164	0.68830674
11	8275	0.84023951
11	2529	2.320264315
11	6121	1.582962834
11	7408	1.368800935
11	10299	0.847367267
11	20737	0.289511096
11	23796	0.316588315
11	27578	-0.359613281
11	26446	-0.807101403
11	20496	-0.269024832
12	1500	1.088643644
12	1500	1.794060535
12	1000	1.763426552
12	1600	1.030891869
12	1000	1.477819635
12	6000	-0.528367504
12	8000	-0.790418635
12	400	1.878706878
12	5000	-0.290334038
12	1944	0.984948289
12	3000	-0.051501211
12	3600	0.591673918
12	200	2.435757818
12	1200	0.976556349
12	8000	-0.119904128
12	2200	0.973839735
12	280	2.077638421
12	3000	0.489166586
12	2000	1.272225209
12	10000	-0.365207106
12	6000	0.490350078
12	4000	1.648555566
12	7072	-0.154871196
12	9106	-1.193287892
12	6000	-0.881159442
12	5887	-0.41028718
12	5479	-0.24689451
12	3901	0.122483247
12	327	2.512834959
12	3736	0.109866278
12	3836	0.949702785
12	3719	1.192350705
12	3940	0.845030328
12	3320	0.530471596
12	4220	0.017772899
13	4055	1.692190369
13	5793	1.263675105
13	3476	1.453206704
13	1159	2.179929339
13	5793	0.774562071
13	11586	0.631857019
13	6951	0.907697508
13	3939	0.973000519
13	3476	0.878256164
13	3823	0.731099531
13	10891	-1.955785935
13	7647	-1.671172425
